ParticipantNum,Cond,TurnNum,TrustState
P01,,1,
P01,,2,
P01,OneWay,3,4
P01,,4,
P01,,5,
P01,OneWay,6,5
P01,,7,
P01,,8,
P01,OneWay,9,3
P01,,10,
P01,,11,
P01,OneWay,12,3
P01,,13,
P01,,14,
P01,OneWay,15,2
P01,,16,
P01,,17,
P01,OneWay,18,2
P01,,19,
P01,,20,
P01,OneWay,21,2
P01,,22,
P01,,23,
P01,OneWay,24,1
P01,,25,
P01,,26,
P01,OneWay,27,1
P01,,28,
P01,,29,
P01,OneWay,30,2
P01,,31,
P01,,32,
P01,OneWay,33,2
P01,,34,
P01,,35,
P01,OneWay,36,3
P01,,37,
P01,,38,
P01,OneWay,39,3
P01,,40,
,,,
,,,
,,,
P01,,1,
P01,,2,
P01,TwoWay,3,4
P01,,4,
P01,,5,
P01,TwoWay,6,4
P01,,7,
P01,,8,
P01,TwoWay,9,4
P01,,10,
P01,,11,
P01,TwoWay,12,4
P01,,13,
P01,,14,
P01,TwoWay,15,5
P01,,16,
P01,,17,
P01,TwoWay,18,2
P01,,19,
P01,,20,
P01,TwoWay,21,2
P01,,22,
P01,,23,
P01,TwoWay,24,2
P01,,25,
P01,,26,
P01,TwoWay,27,3
P01,,28,
P01,,29,
P01,TwoWay,30,3
P01,,31,
P01,,32,
P01,TwoWay,33,3
P01,,34,
P01,,35,
P01,TwoWay,36,4
P01,,37,
P01,,38,
P01,TwoWay,39,4
P01,,40,
,,,
,,,
,,,
P02,,1,
P02,,2,
P02,OneWay,3,3
P02,,4,
P02,,5,
P02,OneWay,6,3
P02,,7,
P02,,8,
P02,OneWay,9,2
P02,,10,
P02,,11,
P02,OneWay,12,2
P02,,13,
P02,,14,
P02,OneWay,15,1
P02,,16,
P02,,17,
P02,OneWay,18,1
P02,,19,
P02,,20,
P02,OneWay,21,1
P02,,22,
P02,,23,
P02,OneWay,24,1
P02,,25,
P02,,26,
P02,OneWay,27,1
P02,,28,
P02,,29,
P02,OneWay,30,1
P02,,31,
P02,,32,
P02,OneWay,33,1
P02,,34,
P02,,35,
P02,OneWay,36,1
P02,,37,
P02,,38,
P02,OneWay,39,2
P02,,40,
,,,
,,,
,,,
P02,,1,
P02,,2,
P02,TwoWay,3,3
P02,,4,
P02,,5,
P02,TwoWay,6,4
P02,,7,
P02,,8,
P02,TwoWay,9,4
P02,,10,
P02,,11,
P02,TwoWay,12,5
P02,,13,
P02,,14,
P02,TwoWay,15,5
P02,,16,
P02,,17,
P02,TwoWay,18,3
P02,,19,
P02,,20,
P02,TwoWay,21,2
P02,,22,
P02,,23,
P02,TwoWay,24,2
P02,,25,
P02,,26,
P02,TwoWay,27,2
P02,,28,
P02,,29,
P02,TwoWay,30,2
P02,,31,
P02,,32,
P02,TwoWay,33,2
P02,,34,
P02,,35,
P02,TwoWay,36,2
P02,,37,
P02,,38,
P02,TwoWay,39,2
P02,,40,
,,,
,,,
,,,
P03,,1,
P03,,2,
P03,OneWay,3,3
P03,,4,
P03,,5,
P03,OneWay,6,3
P03,,7,
P03,,8,
P03,OneWay,9,4
P03,,10,
P03,,11,
P03,OneWay,12,4
P03,,13,
P03,,14,
P03,OneWay,15,4
P03,,16,
P03,,17,
P03,OneWay,18,4
P03,,19,
P03,,20,
P03,OneWay,21,4
P03,,22,
P03,,23,
P03,OneWay,24,3
P03,,25,
P03,,26,
P03,OneWay,27,3
P03,,28,
P03,,29,
P03,OneWay,30,4
P03,,31,
P03,,32,
P03,OneWay,33,4
P03,,34,
P03,,35,
P03,OneWay,36,4
P03,,37,
P03,,38,
P03,OneWay,39,4
P03,,40,
,,,
,,,
,,,
P03,,1,
P03,,2,
P03,TwoWay,3,4
P03,,4,
P03,,5,
P03,TwoWay,6,4
P03,,7,
P03,,8,
P03,TwoWay,9,4
P03,,10,
P03,,11,
P03,TwoWay,12,5
P03,,13,
P03,,14,
P03,TwoWay,15,5
P03,,16,
P03,,17,
P03,TwoWay,18,5
P03,,19,
P03,,20,
P03,TwoWay,21,4
P03,,22,
P03,,23,
P03,TwoWay,24,4
P03,,25,
P03,,26,
P03,TwoWay,27,4
P03,,28,
P03,,29,
P03,TwoWay,30,4
P03,,31,
P03,,32,
P03,TwoWay,33,4
P03,,34,
P03,,35,
P03,TwoWay,36,4
P03,,37,
P03,,38,
P03,TwoWay,39,5
P03,,40,
,,,
,,,
,,,
P04,,1,
P04,,2,
P04,OneWay,3,4
P04,,4,
P04,,5,
P04,OneWay,6,4
P04,,7,
P04,,8,
P04,OneWay,9,3
P04,,10,
P04,,11,
P04,OneWay,12,4
P04,,13,
P04,,14,
P04,OneWay,15,4
P04,,16,
P04,,17,
P04,OneWay,18,3
P04,,19,
P04,,20,
P04,OneWay,21,3
P04,,22,
P04,,23,
P04,OneWay,24,3
P04,,25,
P04,,26,
P04,OneWay,27,3
P04,,28,
P04,,29,
P04,OneWay,30,3
P04,,31,
P04,,32,
P04,OneWay,33,3
P04,,34,
P04,,35,
P04,OneWay,36,3
P04,,37,
P04,,38,
P04,OneWay,39,4
P04,,40,
,,,
,,,
,,,
P04,,1,
P04,,2,
P04,TwoWay,3,5
P04,,4,
P04,,5,
P04,TwoWay,6,4
P04,,7,
P04,,8,
P04,TwoWay,9,4
P04,,10,
P04,,11,
P04,TwoWay,12,4
P04,,13,
P04,,14,
P04,TwoWay,15,3
P04,,16,
P04,,17,
P04,TwoWay,18,3
P04,,19,
P04,,20,
P04,TwoWay,21,3
P04,,22,
P04,,23,
P04,TwoWay,24,3
P04,,25,
P04,,26,
P04,TwoWay,27,3
P04,,28,
P04,,29,
P04,TwoWay,30,4
P04,,31,
P04,,32,
P04,TwoWay,33,3
P04,,34,
P04,,35,
P04,TwoWay,36,4
P04,,37,
P04,,38,
P04,TwoWay,39,4
P04,,40,
,,,
,,,
,,,
P05,,1,
P05,,2,
P05,OneWay,3,4
P05,,4,
P05,,5,
P05,OneWay,6,4
P05,,7,
P05,,8,
P05,OneWay,9,3
P05,,10,
P05,,11,
P05,OneWay,12,3
P05,,13,
P05,,14,
P05,OneWay,15,3
P05,,16,
P05,,17,
P05,OneWay,18,3
P05,,19,
P05,,20,
P05,OneWay,21,3
P05,,22,
P05,,23,
P05,OneWay,24,3
P05,,25,
P05,,26,
P05,OneWay,27,3
P05,,28,
P05,,29,
P05,OneWay,30,3
P05,,31,
P05,,32,
P05,OneWay,33,3
P05,,34,
P05,,35,
P05,OneWay,36,3
P05,,37,
P05,,38,
P05,OneWay,39,3
P05,,40,
,,,
,,,
,,,
P05,,1,
P05,,2,
P05,TwoWay,3,4
P05,,4,
P05,,5,
P05,TwoWay,6,3
P05,,7,
P05,,8,
P05,TwoWay,9,3
P05,,10,
P05,,11,
P05,TwoWay,12,3
P05,,13,
P05,,14,
P05,TwoWay,15,4
P05,,16,
P05,,17,
P05,TwoWay,18,4
P05,,19,
P05,,20,
P05,TwoWay,21,3
P05,,22,
P05,,23,
P05,TwoWay,24,3
P05,,25,
P05,,26,
P05,TwoWay,27,3
P05,,28,
P05,,29,
P05,TwoWay,30,3
P05,,31,
P05,,32,
P05,TwoWay,33,3
P05,,34,
P05,,35,
P05,TwoWay,36,3
P05,,37,
P05,,38,
P05,TwoWay,39,3
P05,,40,
,,,
P06,,1,
P06,,2,
P06,TwoWay,3,4
P06,,4,
P06,,5,
P06,TwoWay,6,4
P06,,7,
P06,,8,
P06,TwoWay,9,4
P06,,10,
P06,,11,
P06,TwoWay,12,5
P06,,13,
P06,,14,
P06,TwoWay,15,5
P06,,16,
P06,,17,
P06,TwoWay,18,3
P06,,19,
P06,,20,
P06,TwoWay,21,2
P06,,22,
P06,,23,
P06,TwoWay,24,2
P06,,25,
P06,,26,
P06,TwoWay,27,3
P06,,28,
P06,,29,
P06,TwoWay,30,3
P06,,31,
P06,,32,
P06,TwoWay,33,4
P06,,34,
P06,,35,
